IDENTIDADE;STATUS;UF;SEXO;ESCOLARIDADE;ESTCIV;RENDA;NATUREZA;REGIAO;IDADE
LC_4686;inad;SP;F;primario;casado;504;empregado;F;61
LC_4687;inad;SP;F;primario;solt;1675;autonomo;A;33
LC_4688;admpl;SP;M;secundario;solt;2156;empregado;B;54
LC_4689;inad;SP;M;superior;casado;1124;empregado;B;57
LC_4690;admpl;SP;M;secundario;solt;3799;empregado;B;34
LC_4691;inad;SP;F;secundario;casado;4020;autonomo;B;48
LC_4692;admpl;SP;M;secundario;solt;7743;outros;B;50
LC_4693;admpl;SP;F;superior;viuvo;737;empregado;E;32
LC_4694;admpl;SP;F;superior;solt;2768;empregado;D;60
LC_4695;inad;MG;M;primario;solt;13455;empregado;C;55
LC_4696;admpl;SP;F;superior;casado;13205;empregado;B;45
LC_4697;admpl;SP;F;superior;solt;1344;empregado;F;49
LC_4698;admpl;SP;F;primario;casado;593;empregado;D;39
LC_4699;inad;SP;M;superior;solt;3350;autonomo;A;59
LC_4700;inad;SP;M;secundario;solt;16080;autonomo;F;59
LC_4701;admpl;SP;M;primario;solt;8040;empregado;D;56
LC_4702;inad;SP;M;secundario;solt;12060;autonomo;B;65
LC_4703;admpl;SP;F;secundario;casado;2896;empregado;E;45
LC_4704;admpl;SP;M;primario;solt;1474;outros;E;41
LC_4705;inad;SP;M;secundario;solt;107610;empregado;C;56
LC_4706;admpl;SP;F;secundario;casado;1;empregado;F;51
LC_4707;inad;SP;M;secundario;solt;3350;outros;B;59
LC_4708;inad;SP;M;superior;solt;421;autonomo;D;67
LC_4709;admpl;SP;F;secundario;casado;10071;empregado;F;64
LC_4710;inad;SP;M;secundario;solt;7776;empregado;F;34
LC_4711;inad;SP;F;superior;solt;362;outros;A;35
LC_4712;admpl;SP;F;superior;viuvo;3185;autonomo;F;63
LC_4713;inad;SP;M;superior;divorciado;4020;outros;F;37
LC_4714;admpl;SP;F;secundario;solt;2814;empregado;D;56
LC_4715;admpl;SP;F;secundario;casado;2123;empregado;B;64
LC_4716;inad;SP;F;secundario;solt;439;empregado;B;46
LC_4717;admpl;SP;M;secundario;solt;14822;empregado;C;56
LC_4718;admpl;SP;F;secundario;casado;3047;outros;F;68
LC_4719;admpl;SP;M;secundario;solt;1523;empregado;F;57
LC_4720;admpl;SP;M;secundario;solt;9112;outros;B;55
LC_4721;inad;SP;F;secundario;casado;4640;empregado;B;45
LC_4722;inad;SP;F;secundario;solt;1474;empregado;A;35
LC_4723;inad;SP;M;superior;solt;1340;empregado;A;64
LC_4724;admpl;SP;M;superior;solt;1742;outros;C;41
LC_4725;admpl;SP;M;secundario;solt;9999;empregado;B;31
LC_4726;inad;SP;M;secundario;solt;2835;outros;B;43
LC_4727;inad;SP;F;secundario;casado;3765;empregado;E;44
LC_4728;admpl;SP;M;superior;solt;1340;empregado;B;55
LC_4729;admpl;SP;F;superior;viuvo;2010;outros;D;34
LC_4730;inad;SP;F;superior;solt;2680;autonomo;D;39
LC_4731;admpl;SP;F;superior;casado;509;empregado;E;52
LC_4732;inad;SP;F;primario;solt;1608;autonomo;A;63
LC_4733;inad;SP;M;primario;solt;1340;empregado;E;43
LC_4734;admpl;SP;F;superior;solt;693;empregado;F;64
LC_4735;admpl;SP;M;primario;solt;751;empregado;E;62
LC_4736;inad;SP;F;secundario;casado;2854;empregado;B;38
LC_4737;admpl;SP;M;superior;solt;1742;empregado;C;55
LC_4738;inad;SP;F;secundario;solt;2095;empregado;B;66
LC_4739;admpl;SP;F;primario;casado;423;empregado;E;51
LC_4740;admpl;SP;F;primario;solt;518;empregado;E;34
LC_4741;admpl;SP;M;secundario;solt;6012;empregado;F;31
LC_4742;admpl;SP;F;primario;solt;670;empregado;E;32
LC_4743;admpl;SP;F;superior;solt;2134;empregado;B;57
LC_4744;admpl;SP;F;secundario;viuvo;6700;empregado;B;57
LC_4745;admpl;SP;F;secundario;solt;2010;empregado;E;69
LC_4746;inad;SP;F;secundario;outros;1340;empregado;B;36
LC_4747;admpl;SP;M;secundario;solt;7332;empregado;C;68
LC_4748;admpl;SP;M;superior;solt;871;empregado;F;47
LC_4749;admpl;SP;M;superior;solt;830;empregado;F;49
LC_4750;inad;SP;F;superior;casado;3082;empregado;B;31
LC_4751;admpl;MG;F;superior;solt;737;empregado;D;55
LC_4752;admpl;SP;M;secundario;solt;2978;empregado;C;53
LC_4753;inad;SP;F;primario;solt;1072;outros;E;39
LC_4754;inad;SP;M;secundario;solt;13852;empregado;C;65
LC_4755;admpl;SP;M;posgrad;solt;6030;empregado;F;55
LC_4756;inad;SP;F;primario;casado;402;empregado;E;47
LC_4757;inad;SP;M;primario;solt;6425;empregado;C;58
LC_4758;admpl;SP;F;secundario;casado;3350;outros;B;56
LC_4759;admpl;SP;M;secundario;solt;1098;empregado;C;43
LC_4760;inad;SP;F;secundario;casado;5363;empregado;E;49
LC_4761;inad;SP;M;primario;solt;1340;empregado;C;65
LC_4762;inad;SP;M;secundario;solt;6700;autonomo;B;57
LC_4763;inad;SP;M;primario;solt;10720;autonomo;B;33
LC_4764;inad;SP;M;secundario;solt;4020;autonomo;B;57
LC_4765;inad;SP;M;secundario;solt;6012;outros;B;54
LC_4766;admpl;SP;F;primario;casado;2611;empregado;F;59
LC_4767;inad;SP;M;primario;solt;6030;outros;B;56
LC_4768;admpl;SP;F;primario;solt;2680;autonomo;B;48
LC_4769;admpl;SP;F;secundario;solt;5360;outros;B;54
LC_4770;admpl;SP;M;secundario;solt;5482;empregado;D;31
LC_4771;inad;SP;M;primario;casado;574;outros;F;61
LC_4772;admpl;MG;M;secundario;solt;2454;empregado;B;69
LC_4773;admpl;SP;F;superior;solt;734;empregado;E;68
LC_4774;admpl;SP;M;secundario;solt;4690;empregado;B;43
LC_4775;inad;SP;F;secundario;casado;3764;empregado;B;69
LC_4776;admpl;SP;F;superior;solt;1991;empregado;D;39
LC_4777;admpl;SP;F;secundario;casado;5831;outros;D;62
LC_4778;admpl;SP;F;secundario;casado;120;empregado;D;38
LC_4779;admpl;SP;F;secundario;casado;1992;outros;E;53
LC_4780;admpl;SP;F;superior;solt;2412;outros;E;42
LC_4781;inad;MG;M;superior;solt;4958;outros;A;57
LC_4782;admpl;SP;F;primario;casado;889;outros;E;36
LC_4783;inad;SP;M;secundario;solt;3082;empregado;B;54
LC_4784;admpl;SP;F;superior;casado;2982;empregado;F;61
LC_4785;admpl;SP;M;primario;solt;1876;empregado;F;50
LC_4786;admpl;SP;M;superior;casado;804;outros;F;56
LC_4787;admpl;SP;F;superior;solt;2680;empregado;B;32
LC_4788;admpl;SP;F;primario;viuvo;556;empregado;F;40
LC_4789;admpl;SP;F;secundario;solt;2089;empregado;B;43
LC_4790;admpl;SP;F;secundario;solt;2761;empregado;D;41
LC_4791;inad;SP;M;secundario;divorciado;6030;empregado;B;43
LC_4792;admpl;MG;F;secundario;casado;508;empregado;B;65
LC_4793;admpl;SP;F;superior;casado;1072;empregado;B;44
LC_4794;admpl;SP;F;secundario;solt;7535;empregado;C;43
LC_4795;inad;SP;M;secundario;solt;12499;empregado;B;42
LC_4796;admpl;SP;F;superior;solt;868;empregado;E;43
LC_4797;inad;SP;M;posgrad;solt;2680;empregado;D;51
LC_4798;admpl;SP;F;superior;casado;5811;empregado;D;51
LC_4799;admpl;SP;M;primario;solt;5449;empregado;D;33
LC_4800;admpl;SP;M;superior;solt;3024;empregado;F;64
LC_4801;admpl;SP;F;secundario;casado;2586;outros;F;52
LC_4802;admpl;SP;F;posgrad;viuvo;2680;outros;B;42
LC_4803;admpl;SP;F;superior;solt;1701;outros;E;52
LC_4804;admpl;SP;F;secundario;viuvo;1824;empregado;B;54
LC_4805;admpl;SP;M;posgrad;casado;1340;outros;D;58
LC_4806;admpl;SP;M;posgrad;solt;3175;empregado;C;60
LC_4807;inad;SP;M;secundario;solt;11926;outros;B;62
LC_4808;inad;SP;M;secundario;solt;4299;outros;B;43
LC_4809;admpl;MG;F;superior;solt;1057;empregado;E;41
LC_4810;admpl;SP;F;secundario;solt;2680;autonomo;B;35
LC_4811;admpl;SP;F;secundario;outros;5248;empregado;B;31
LC_4812;admpl;SP;M;primario;solt;1969;empregado;E;41
LC_4813;inad;SP;M;secundario;solt;13400;autonomo;B;59
LC_4814;admpl;SP;F;secundario;solt;2680;empregado;B;39
LC_4815;admpl;MG;M;primario;solt;2680;outros;F;40
LC_4816;admpl;SP;F;posgrad;divorciado;554;empregado;F;48
LC_4817;inad;SP;M;secundario;solt;696666;autonomo;B;64
LC_4818;admpl;MG;F;secundario;solt;1036;empregado;D;68
LC_4819;inad;SP;M;secundario;solt;2348;empregado;B;70
LC_4820;admpl;SP;M;secundario;solt;804;autonomo;F;49
LC_4821;admpl;SP;F;secundario;solt;901;empregado;B;66
LC_4822;inad;SP;F;secundario;solt;17420;empregado;B;41
LC_4823;admpl;SP;F;superior;casado;909;empregado;E;35
LC_4824;admpl;MG;F;secundario;casado;1809;autonomo;E;54
LC_4825;admpl;SP;F;secundario;solt;4020;outros;E;40
LC_4826;admpl;SP;M;superior;solt;6030;empregado;B;33
LC_4827;admpl;SP;F;secundario;solt;6952;empregado;C;65
LC_4828;inad;SP;M;secundario;solt;13813;empregado;C;39
LC_4829;admpl;SP;F;secundario;solt;4233;empregado;B;68
LC_4830;inad;SP;M;posgrad;solt;2680;outros;B;68
LC_4831;inad;SP;M;posgrad;solt;592;empregado;E;42
LC_4832;admpl;SP;F;posgrad;solt;1340;empregado;E;31
LC_4833;admpl;SP;M;secundario;solt;8619;empregado;C;58
LC_4834;inad;SP;M;superior;solt;5786;empregado;F;39
LC_4835;admpl;SP;F;secundario;solt;1139;outros;B;47
LC_4836;inad;SP;M;primario;solt;1072;autonomo;E;47
LC_4837;admpl;SP;M;secundario;casado;199;empregado;B;39
LC_4838;inad;SP;F;secundario;solt;2180;outros;F;60
LC_4839;admpl;SP;M;superior;solt;2680;outros;C;30
LC_4840;admpl;SP;M;posgrad;solt;8864;empregado;C;62
LC_4841;inad;SP;F;superior;solt;495;empregado;E;44
LC_4842;admpl;SP;F;secundario;solt;12730;outros;C;45
LC_4843;inad;SP;M;superior;solt;2680;empregado;C;37
LC_4844;inad;SP;M;secundario;solt;1742;empregado;B;30
LC_4845;admpl;SP;M;primario;solt;1629;empregado;F;65
LC_4846;admpl;SP;F;secundario;casado;2679;empregado;D;61
LC_4847;admpl;SP;M;primario;casado;1289;empregado;D;41
LC_4848;inad;SP;M;secundario;solt;14971;empregado;B;58
LC_4849;inad;SP;F;superior;solt;442;autonomo;A;35
LC_4850;inad;SP;M;secundario;solt;8504;empregado;B;45
LC_4851;admpl;SP;F;superior;solt;3897;empregado;D;62
LC_4852;admpl;SP;F;secundario;solt;3618;empregado;B;42
LC_4853;admpl;SP;F;superior;solt;994;empregado;E;40
LC_4854;admpl;SP;F;secundario;solt;2070;empregado;B;50
LC_4855;admpl;SP;F;superior;casado;688;outros;E;55
LC_4856;admpl;SP;F;superior;casado;511;empregado;B;46
LC_4857;inad;MG;M;secundario;solt;10720;autonomo;A;58
LC_4858;inad;SP;F;secundario;casado;10175;empregado;F;68
LC_4859;admpl;SP;F;primario;casado;2948;autonomo;F;66
LC_4860;admpl;SP;M;secundario;casado;4020;empregado;B;41
LC_4861;admpl;SP;F;superior;viuvo;1273;empregado;E;51
LC_4862;inad;MG;M;superior;solt;1221;outros;D;43
LC_4863;inad;SP;M;secundario;solt;12542;empregado;C;52
LC_4864;inad;SP;M;secundario;solt;8040;outros;B;52
LC_4865;inad;MG;M;secundario;solt;4204;empregado;B;53
LC_4866;admpl;SP;F;secundario;solt;1348;empregado;B;51
LC_4867;inad;MG;M;secundario;solt;17676;outros;B;53
LC_4868;inad;SP;M;secundario;solt;486;outros;B;42
LC_4869;inad;SP;F;secundario;solt;913;empregado;B;40
LC_4870;admpl;SP;M;superior;solt;5092;empregado;F;50
LC_4871;admpl;SP;F;secundario;viuvo;2680;empregado;F;47
LC_4872;admpl;SP;F;secundario;solt;3328;empregado;B;42
LC_4873;admpl;SP;M;secundario;solt;6030;empregado;B;38
LC_4874;inad;MG;M;superior;solt;2898;empregado;E;54
LC_4875;inad;SP;M;secundario;solt;1154;empregado;F;46
LC_4876;inad;SP;M;secundario;solt;4520;empregado;C;54
LC_4877;inad;SP;M;secundario;solt;3350;empregado;C;36
LC_4878;admpl;SP;F;posgrad;casado;1101;empregado;D;67
LC_4879;inad;SP;M;secundario;solt;2680;empregado;B;48
LC_4880;admpl;SP;M;superior;solt;1527;empregado;F;54
LC_4881;inad;MG;M;primario;solt;1290;autonomo;A;49
LC_4882;admpl;SP;F;primario;solt;1057;empregado;F;59
LC_4883;admpl;SP;F;superior;casado;2010;outros;F;45
LC_4884;admpl;SP;M;secundario;solt;3576;empregado;B;39
LC_4885;inad;SP;M;secundario;solt;2680;outros;B;70
LC_4886;inad;SP;M;primario;solt;6700;empregado;A;46
LC_4887;admpl;SP;M;primario;solt;2689;empregado;F;56
LC_4888;admpl;SP;F;secundario;solt;252;empregado;D;67
LC_4889;inad;SP;F;secundario;solt;1673;outros;B;32
LC_4890;inad;SP;M;primario;solt;804;empregado;F;36
LC_4891;admpl;SP;F;secundario;casado;2412;outros;C;31
LC_4892;admpl;MG;M;superior;casado;511;empregado;F;59
LC_4893;admpl;SP;F;superior;casado;935;empregado;E;56
LC_4894;admpl;SP;M;primario;solt;1340;outros;F;56
LC_4895;admpl;SP;M;secundario;casado;1340;outros;B;31
LC_4896;inad;SP;M;superior;solt;4115;empregado;E;68
LC_4897;inad;MG;M;secundario;solt;2264;autonomo;A;68
LC_4898;admpl;SP;F;secundario;casado;2994;empregado;C;34
LC_4899;inad;SP;F;superior;divorciado;6310;autonomo;A;55
LC_4900;inad;SP;M;primario;solt;2476;autonomo;F;48
LC_4901;inad;SP;M;secundario;solt;6700;outros;C;40
LC_4902;admpl;SP;F;superior;outros;2010;empregado;E;60
LC_4903;inad;SP;M;superior;solt;21443;empregado;C;69
LC_4904;admpl;SP;F;superior;solt;1200;empregado;E;47
LC_4905;admpl;SP;F;superior;casado;2006;empregado;D;44
LC_4906;inad;SP;M;primario;solt;1340;empregado;B;53
LC_4907;admpl;SP;M;secundario;solt;6164;empregado;B;56
LC_4908;inad;SP;M;superior;solt;4020;outros;C;51
LC_4909;admpl;SP;M;superior;casado;2088;empregado;E;44
LC_4910;admpl;SP;F;superior;casado;1936;empregado;E;50
LC_4911;admpl;SP;M;posgrad;casado;4549;empregado;E;51
LC_4912;admpl;SP;M;secundario;solt;938;empregado;F;31
LC_4913;admpl;SP;M;primario;outros;1518;empregado;C;44
LC_4914;inad;SP;F;secundario;casado;1097;empregado;B;67
LC_4915;admpl;SP;F;secundario;casado;5626;outros;F;36
LC_4916;admpl;SP;M;superior;solt;729;empregado;F;38
LC_4917;inad;SP;F;superior;casado;3765;empregado;E;50
LC_4918;inad;SP;F;superior;solt;1290;empregado;E;33
LC_4919;inad;SP;F;primario;solt;820;empregado;F;35
LC_4920;inad;SP;F;secundario;solt;1528;empregado;B;58
LC_4921;admpl;SP;F;secundario;solt;1541;outros;F;66
LC_4922;admpl;SP;F;superior;casado;2646;empregado;C;32
LC_4923;admpl;SP;F;secundario;viuvo;1524;empregado;C;48
LC_4924;inad;SP;M;primario;solt;4520;empregado;F;40
LC_4925;admpl;SP;F;superior;solt;670;empregado;B;52
LC_4926;inad;MG;M;primario;solt;8040;empregado;F;53
LC_4927;admpl;SP;M;superior;solt;5360;outros;B;33
LC_4928;admpl;SP;F;secundario;solt;6292;empregado;E;53
LC_4929;inad;SP;M;secundario;solt;897;empregado;F;67
LC_4930;inad;SP;F;secundario;divorciado;2031;empregado;C;66
LC_4931;inad;SP;M;superior;solt;4020;empregado;D;62
LC_4932;inad;SP;M;superior;solt;1152;autonomo;D;53
LC_4933;inad;SP;M;secundario;solt;2591;empregado;C;49
LC_4934;admpl;SP;M;secundario;casado;1340;outros;F;70
LC_4935;admpl;SP;F;superior;casado;1072;empregado;D;52
LC_4936;inad;MG;M;superior;solt;2640;empregado;B;56
LC_4937;admpl;SP;F;superior;solt;2571;empregado;B;53
LC_4938;admpl;SP;M;secundario;solt;2608;empregado;D;37
LC_4939;admpl;SP;M;secundario;solt;1608;empregado;B;45
LC_4940;admpl;SP;M;secundario;solt;9514;empregado;B;56
LC_4941;admpl;SP;M;superior;casado;114;empregado;C;34
LC_4942;admpl;MG;F;superior;solt;1340;empregado;B;31
LC_4943;inad;SP;M;secundario;viuvo;7249;empregado;C;43
LC_4944;admpl;SP;F;primario;casado;3484;empregado;F;65
LC_4945;inad;SP;F;secundario;casado;1573;empregado;B;48
LC_4946;admpl;SP;M;primario;solt;2160;empregado;F;34
LC_4947;inad;SP;F;secundario;solt;1381;empregado;B;34
LC_4948;admpl;SP;F;secundario;casado;2996;empregado;B;56
LC_4949;inad;MG;M;superior;solt;1476;empregado;E;66
LC_4950;inad;SP;M;secundario;solt;2719;empregado;B;43
LC_4951;admpl;SP;M;primario;solt;989;empregado;F;69
LC_4952;inad;SP;M;secundario;casado;2984;empregado;D;37
LC_4953;admpl;SP;F;secundario;solt;4247;empregado;E;37
LC_4954;inad;SP;F;secundario;solt;1121;empregado;E;34
LC_4955;inad;SP;M;secundario;solt;3024;empregado;C;65
LC_4956;inad;SP;M;primario;solt;2412;autonomo;F;70
LC_4957;inad;SP;F;secundario;solt;1876;empregado;F;36
LC_4958;admpl;SP;M;primario;solt;2071;empregado;F;47
LC_4959;admpl;SP;M;secundario;solt;1474;outros;B;70
LC_4960;inad;SP;F;superior;solt;2903;empregado;B;61
LC_4961;admpl;SP;F;superior;casado;1206;outros;F;64
LC_4962;admpl;SP;F;secundario;casado;1968;empregado;F;37
LC_4963;admpl;SP;M;superior;solt;2617;outros;E;63
LC_4964;admpl;SP;F;secundario;casado;5187;empregado;E;58
LC_4965;admpl;SP;M;secundario;solt;1340;empregado;D;30
LC_4966;inad;SP;M;secundario;divorciado;1876;empregado;B;42
LC_4967;admpl;SP;F;secundario;solt;4020;empregado;C;34
LC_4968;admpl;SP;M;secundario;solt;4790;empregado;B;45
LC_4969;inad;SP;F;secundario;outros;2010;empregado;B;66
LC_4970;admpl;SP;M;superior;casado;3779;empregado;B;52
LC_4971;admpl;SP;M;superior;solt;3082;empregado;F;51
LC_4972;inad;SP;F;superior;divorciado;1333;autonomo;F;42
LC_4973;admpl;SP;F;superior;solt;3902;empregado;D;59
LC_4974;admpl;SP;M;primario;solt;1881;outros;D;55
LC_4975;admpl;SP;F;superior;viuvo;887;empregado;E;55
LC_4976;admpl;SP;M;primario;solt;1507;empregado;F;65
LC_4977;inad;MG;M;secundario;solt;3462;empregado;C;61
LC_4978;inad;SP;M;secundario;solt;2809;empregado;B;49
LC_4979;admpl;SP;M;superior;solt;1640;empregado;F;57
LC_4980;inad;SP;M;secundario;solt;5735;empregado;B;41
LC_4981;admpl;SP;F;primario;casado;529;empregado;F;37
LC_4982;admpl;SP;M;primario;solt;1637;empregado;E;53
LC_4983;admpl;SP;M;secundario;solt;1481;empregado;E;37
LC_4984;admpl;SP;F;superior;solt;2412;outros;D;57
LC_4985;admpl;SP;M;superior;casado;1886;empregado;E;32
LC_4986;inad;SP;M;secundario;viuvo;793;empregado;E;32
LC_4987;inad;SP;F;secundario;casado;9380;empregado;C;53
LC_4988;inad;SP;F;superior;divorciado;3350;empregado;C;46
LC_4989;admpl;SP;F;secundario;casado;8576;empregado;C;41
LC_4990;admpl;SP;M;superior;solt;1501;empregado;E;36
LC_4991;inad;SP;M;secundario;solt;1742;autonomo;A;35
LC_4992;admpl;SP;F;superior;casado;718;empregado;E;58
LC_4993;inad;SP;M;primario;solt;2539;empregado;F;44
LC_4994;admpl;SP;M;superior;solt;3216;empregado;F;37
LC_4995;admpl;SP;F;superior;solt;1206;empregado;D;67
LC_4996;inad;SP;F;superior;casado;3311;empregado;D;43
LC_4997;admpl;SP;F;superior;solt;8498;empregado;D;56
LC_4998;admpl;SP;M;superior;solt;695;empregado;E;47
LC_4999;admpl;SP;F;primario;divorciado;1206;outros;C;55
LC_5000;admpl;SP;F;posgrad;casado;956;empregado;B;67
LC_5001;admpl;SP;F;superior;casado;2680;outros;B;57
LC_5002;admpl;SP;F;superior;solt;648;empregado;E;67
LC_5003;admpl;SP;M;superior;casado;3189;empregado;E;57
LC_5004;admpl;SP;F;secundario;casado;2245;empregado;B;35
LC_5005;inad;SP;M;secundario;solt;80400;outros;C;46
LC_5006;inad;SP;F;secundario;solt;20123;empregado;C;34
LC_5007;inad;SP;M;secundario;solt;3875;empregado;B;44
LC_5008;admpl;MG;F;primario;outros;536;outros;E;58
LC_5009;inad;SP;F;secundario;viuvo;869;empregado;F;56
LC_5010;admpl;SP;F;secundario;solt;8606;empregado;F;48
LC_5011;inad;SP;F;primario;solt;2052;empregado;F;68
LC_5012;admpl;SP;F;secundario;solt;1184;empregado;B;42
LC_5013;admpl;SP;F;secundario;solt;804;empregado;B;32
LC_5014;admpl;SP;M;secundario;solt;9802;empregado;F;65
LC_5015;inad;SP;M;superior;solt;1742;empregado;A;58
LC_5016;inad;SP;F;secundario;casado;4387;empregado;B;50
LC_5017;admpl;SP;M;secundario;solt;2572;outros;D;32
LC_5018;inad;SP;F;superior;solt;1652;autonomo;F;56
LC_5019;admpl;SP;F;superior;solt;818;empregado;E;44
LC_5020;inad;SP;F;superior;solt;1389;empregado;E;46
LC_5021;admpl;SP;F;superior;casado;1400;empregado;E;48
LC_5022;admpl;SP;M;primario;casado;2010;empregado;F;45
LC_5023;admpl;SP;M;superior;solt;1340;empregado;D;64
LC_5024;inad;SP;F;superior;solt;1768;empregado;B;49
LC_5025;inad;SP;F;posgrad;outros;2059;autonomo;D;45
LC_5026;admpl;SP;M;posgrad;casado;1268;empregado;D;48
LC_5027;admpl;SP;M;secundario;casado;7215;empregado;B;68
LC_5028;admpl;SP;F;posgrad;divorciado;1595;empregado;E;43
LC_5029;admpl;SP;F;primario;casado;731;empregado;E;31
LC_5030;inad;SP;M;secundario;solt;1340;empregado;B;61
LC_5031;inad;SP;M;secundario;solt;5297;empregado;E;34
LC_5032;admpl;SP;F;primario;solt;3350;outros;F;49
LC_5033;admpl;SP;M;secundario;solt;11153;empregado;D;50
LC_5034;admpl;SP;F;primario;solt;2083;empregado;F;58
LC_5035;inad;SP;M;secundario;solt;9299;empregado;F;63
LC_5036;admpl;SP;F;primario;solt;1649;empregado;E;42
LC_5037;admpl;SP;M;secundario;viuvo;4841;empregado;B;33
LC_5038;inad;SP;F;superior;divorciado;1340;autonomo;A;65
LC_5039;inad;SP;M;primario;casado;2032;empregado;F;45
LC_5040;inad;SP;M;secundario;solt;16130;empregado;B;65
LC_5041;admpl;SP;F;posgrad;solt;3935;empregado;E;53
LC_5042;inad;SP;M;primario;solt;1400;empregado;F;55
LC_5043;admpl;SP;M;primario;casado;738;empregado;E;49
LC_5044;inad;SP;M;posgrad;solt;164476;outros;B;42
LC_5045;admpl;SP;F;secundario;solt;1668;empregado;D;69
LC_5046;admpl;SP;F;secundario;casado;3345;empregado;B;69
LC_5047;admpl;SP;F;secundario;solt;9817;empregado;C;54
LC_5048;admpl;SP;F;primario;solt;2144;outros;C;61
LC_5049;admpl;SP;F;posgrad;casado;650;empregado;E;66
LC_5050;admpl;SP;F;superior;solt;3359;empregado;C;67
LC_5051;admpl;SP;M;primario;solt;1340;empregado;E;49
LC_5052;admpl;SP;M;secundario;solt;2412;outros;F;41
LC_5053;admpl;SP;M;posgrad;solt;4690;outros;D;68
LC_5054;admpl;SP;F;superior;viuvo;5360;outros;B;46
LC_5055;admpl;SP;F;secundario;solt;13400;empregado;C;53
LC_5056;admpl;SP;F;primario;casado;845;empregado;F;35
LC_5057;admpl;SP;M;secundario;viuvo;6739;empregado;C;34
LC_5058;admpl;SP;M;secundario;casado;5485;empregado;C;55
LC_5059;inad;SP;M;primario;casado;2010;outros;B;37
LC_5060;inad;SP;M;secundario;solt;33500;outros;B;69
LC_5061;admpl;MG;M;primario;solt;1608;empregado;D;52
LC_5062;inad;SP;M;superior;solt;2680;empregado;C;47
LC_5063;admpl;SP;M;posgrad;solt;9153;empregado;C;55
LC_5064;admpl;SP;F;primario;casado;670;empregado;B;38
LC_5065;admpl;SP;M;secundario;viuvo;4345;empregado;B;42
LC_5066;admpl;SP;M;superior;solt;2076;empregado;E;48
LC_5067;inad;SP;M;primario;solt;152;empregado;E;52
LC_5068;admpl;SP;F;posgrad;casado;2048;empregado;D;41
LC_5069;inad;SP;F;superior;divorciado;6700;empregado;C;47
LC_5070;inad;SP;M;posgrad;solt;2680;autonomo;B;32
LC_5071;inad;SP;M;secundario;solt;670;autonomo;E;55
LC_5072;inad;SP;M;secundario;solt;4984;empregado;B;66
LC_5073;inad;SP;M;superior;solt;8040;autonomo;B;46
LC_5074;inad;SP;M;superior;solt;6108;empregado;D;57
LC_5075;admpl;SP;F;secundario;solt;2433;empregado;B;42
LC_5076;inad;SP;M;secundario;solt;12313;empregado;B;39
LC_5077;inad;SP;F;superior;casado;999;empregado;D;42
LC_5078;admpl;SP;F;secundario;solt;348;empregado;D;42
LC_5079;admpl;SP;M;primario;solt;1368;empregado;F;68
LC_5080;admpl;SP;M;secundario;solt;8040;empregado;D;54
LC_5081;admpl;SP;M;secundario;solt;3196;empregado;D;55
LC_5082;admpl;SP;M;primario;solt;958;autonomo;F;69
LC_5083;admpl;SP;F;secundario;viuvo;1750;empregado;B;62
LC_5084;inad;SP;M;secundario;solt;9554;empregado;F;61
LC_5085;admpl;SP;F;primario;solt;977;empregado;E;68
LC_5086;admpl;SP;M;posgrad;casado;3177;empregado;C;36
LC_5087;admpl;SP;F;secundario;solt;2099;empregado;B;60
LC_5088;admpl;SP;F;posgrad;casado;3371;outros;B;52
LC_5089;admpl;SP;F;superior;casado;4173;empregado;D;31
LC_5090;inad;SP;M;secundario;solt;10219;empregado;B;50
LC_5091;admpl;SP;M;secundario;solt;5455;empregado;D;48
LC_5092;admpl;SP;F;secundario;solt;1777;empregado;E;70
LC_5093;admpl;SP;F;secundario;solt;2437;empregado;B;44
LC_5094;inad;SP;M;superior;casado;13591;empregado;C;35
LC_5095;inad;SP;M;secundario;solt;2895;empregado;C;40
LC_5096;inad;SP;M;superior;casado;72;empregado;D;32
LC_5097;admpl;SP;M;secundario;solt;21737;empregado;F;40
LC_5098;inad;SP;M;superior;solt;1340;outros;B;63
LC_5099;admpl;SP;M;secundario;solt;33307;empregado;F;30
LC_5100;admpl;SP;F;secundario;casado;2680;outros;C;30
LC_5101;inad;SP;F;primario;divorciado;2680;empregado;F;68
LC_5102;admpl;SP;M;primario;solt;169;empregado;B;48
LC_5103;inad;SP;F;primario;casado;536;autonomo;E;32
LC_5104;admpl;SP;M;superior;solt;1608;empregado;F;36
LC_5105;admpl;SP;F;primario;casado;871;empregado;F;42
LC_5106;inad;SP;M;secundario;solt;7486;outros;B;51
LC_5107;inad;SP;F;secundario;casado;466;empregado;B;33
LC_5108;admpl;SP;M;superior;solt;1340;empregado;E;51
LC_5109;inad;SP;M;secundario;casado;2680;empregado;F;31
LC_5110;admpl;SP;M;secundario;solt;5902;empregado;C;66
LC_5111;inad;SP;M;secundario;solt;6700;empregado;B;62
LC_5112;admpl;MG;M;superior;casado;274;outros;F;67
LC_5113;inad;SP;F;primario;divorciado;4020;autonomo;A;53
LC_5114;admpl;SP;F;secundario;divorciado;1294;outros;B;35
LC_5115;admpl;SP;F;secundario;viuvo;4690;empregado;B;59
LC_5116;admpl;SP;M;superior;casado;3249;empregado;E;30
LC_5117;inad;SP;F;posgrad;solt;6394;outros;B;42
LC_5118;admpl;SP;M;superior;solt;1809;empregado;C;39
LC_5119;inad;SP;M;secundario;solt;296;empregado;B;65
