FULLNAME;CODE;BBG_TICKER;NAME;INDUSTRY_SECTOR;INDUSTRY_SECTOR_NUM;GICS_SECTOR_NAME;GICS_SECTOR;CUR_MKT_CAP;EQY_FLOAT;EQY_FREE_FLOAT_PCT;FUND_ASSET_CLASS_FOCUS;SECTOR
BMFBOVESPA ON;BVMF3;BVMF3 BS Equity;BM&FBOVESPA SA;Financial;10008;Financials;40;20.026.000.000;1.739,07;91,53;#N/A N/A;A Bm&fbovespa Tem como Principais Objetivos Administrar Mercados Organizados de Títulos. Valores Mobiliários e Contratos Derivativos.
CONST A LIND ON;CALI3;CALI3 BS Equity;CONST ADOLPHO LINDENBERG SA;Consumer, Cyclical;10004;Industrials;20;#N/A N/A;0;0,54;#N/A N/A;Construção de Edifícios
CONST A LIND PN;CALI4;CALI4 BS Equity;CONST ADOLPHO LINDENBERG-PRF;Consumer, Cyclical;10004;Industrials;20;#N/A N/A;0,02;8,52;#N/A N/A;Construção de Edifícios
CAMBUCI PN;CAMB4;CAMB4 BS Equity;CAMBUCI S.A.-PREF;Consumer, Cyclical;10004;Consumer Discretionary;25;55.515.239;6,9;27,09;#N/A N/A;#N/A N/A
CSU CARDSYST ON;CARD3;CARD3 BS Equity;CSU CARDSYSTEM SA;Financial;10008;Information Technology;45;132.506.000;14,96;35,78;#N/A N/A;Terceirização em Administração e Processamento de Meios Eletrônicos de Pagamento. Infraestrutura e Gestão em Terceirização de Contact Center. Desenvolvimento e Gestão Operacional de Programas Market
CASAN ON;CASN3;CASN3 BS Equity;CIA CATARINENSE AGUAS SANEAM;Utilities;10014;#N/A N/A;#N/A N/A;#N/A N/A;0;0;#N/A N/A;Atuar como Instituição Integrante do Sistema de Saneamento Básico e de Saúde do Estado de Santa Catarina Através dos Serviços de Captação. Tratamento e Distribuição de Água e Tratamento de Esgoto.
CASAN PN;CASN4;CASN4 BS Equity;CIA CATARINENSE AGUAS SAN-PF;Utilities;10014;#N/A N/A;#N/A N/A;#N/A N/A;0;0;#N/A N/A;Atuar como Instituição Integrante do Sistema de Saneamento Básico e de Saúde do Estado de Santa Catarina Através dos Serviços de Captação. Tratamento e Distribuição de Água e Tratamento de Esgoto.
CATERPILLAR DRN;CATP34;CATP34 BS Equity;CATERPILLAR-BDR;Industrial;10011;Industrials;20;166.831.399.083;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A
AMPLA ENERG ON *;CBEE3;CBEE3 BS Equity;AMPLA ENERGIA E SERVICOS SA;Utilities;10014;Utilities;55;4.667.793.943;14.513,23;0,37;#N/A N/A;Distribuição de Energia Elétrica
COBRASMA ON;CBMA3;CBMA3 BS Equity;COBRASMA SA;Industrial;10011;#N/A N/A;#N/A N/A;3.077.546;10,67;26,48;#N/A N/A;Construção e Reparação de Material Ferroviário
COBRASMA PN;CBMA4;CBMA4 BS Equity;COBRASMA SA-PREF;Industrial;10011;#N/A N/A;#N/A N/A;3.077.546;58,94;94,63;#N/A N/A;Construção e Reparação de Material Ferroviário
FII C BRANCO CI;CBOP11;CBOP11 BS Equity;CASTELLO BRANCO OF PARK FII;Financial;10008;#N/A N/A;#N/A N/A;101.597.000;#N/A N/A;#N/A N/A;Real Estate;#N/A N/A
CHIARELLI ON;CCHI3;CCHI3 BS Equity;CERAMICA CHIARELLI S.A.;Industrial;10011;Industrials;20;3.900.000;24,81;37,67;#N/A N/A;Industria Ceramica
CHIARELLI PN;CCHI4;CCHI4 BS Equity;CERAMICA CHIARELLI S.A.-PREF;Industrial;10011;Industrials;20;3.900.000;12,14;100;#N/A N/A;Industria Ceramica
CYRE COM-CCP ON;CCPR3;CCPR3 BS Equity;CYRELA COMMERCIAL PROPERTIES;Financial;10008;Financials;40;1.140.420.000;24,7;29,76;#N/A N/A;Incorporação de Empreendimentos Imobiliários
CCR SA ON;CCRO3;CCRO3 BS Equity;CCR SA;Consumer, Non-cyclical;10005;Industrials;20;31.162.614.080;861,25;48,78;#N/A N/A;Prestadora de Serviços Públicos. Via Concessão. nas Área de Rodoviária. Metroviária. Inspeção Veicular e Aeroportuária.
CCX CARVAO ON;CCXC3;CCXC3 BS Equity;CCX CARVAO DA COLOMBIA SA;Energy;10007;Energy;10;39.128.275;46,99;27,62;#N/A N/A;Desenvolvimento de Projetos de Carvão na Colômbia. Incluindo. Mas Não Limitado A. Pesquisa. Exploração. Lavra. Beneficiamento. Industrialização. Transporte. Exportação e Comércio de Carvão
CEB ON;CEBR3;CEBR3 BS Equity;CIA ENERGETICA DE BRASILIA;Utilities;10014;Utilities;55;183.115.679;0,46;10,15;#N/A N/A;Holding - Geração e Distribuição de Energia Elétrica
CEB PNA;CEBR5;CEBR5 BS Equity;CIA ENERGETICA BRASIL-PF A;Utilities;10014;Utilities;55;183.115.679;1,25;95,28;#N/A N/A;Holding - Geração e Distribuição de Energia Elétrica
CEB PNB;CEBR6;CEBR6 BS Equity;CIA ENERGETICA BRASIL-PF B;Utilities;10014;Utilities;55;183.115.679;3,22;97,9;#N/A N/A;Holding - Geração e Distribuição de Energia Elétrica
CEDRO ON;CEDO3;CEDO3 BS Equity;CIA DE FIACAO E TECIDOS CEDR;Consumer, Cyclical;10004;Consumer Discretionary;25;96.192.459;1,27;22,24;#N/A N/A;Indústria Têxtil
CEDRO PN;CEDO4;CEDO4 BS Equity;CIA DE FIACAO E TECIDOS-PREF;Consumer, Cyclical;10004;Consumer Discretionary;25;96.192.459;1,57;36,56;#N/A N/A;Indústria Têxtil
COELBA ON;CEEB3;CEEB3 BS Equity;CIA ELETRICIDADE DA BAHIA;Utilities;10014;Utilities;55;4.851.270.029;2,26;2,07;#N/A N/A;Distribuição de Energia Elétrica
COELBA PNA;CEEB5;CEEB5 BS Equity;CIA ELETRICIDADE DE BAH-PR A;Utilities;10014;Utilities;55;4.851.270.029;0,31;1,56;#N/A N/A;Distribuição de Energia Elétrica
CEEE-D ON;CEED3;CEED3 BS Equity;CIA ESTADUAL DE DISTRIBUICAO;Utilities;10014;Utilities;55;305.911.564;2,74;0,72;#N/A N/A;Prestação de Serviços de Natureza Pública ou Privada. no Setor de Distribuição de Energia Elétrica.
CEEE-D PN;CEED4;CEED4 BS Equity;CIA ESTADUAL DE DISTRIBUICAO;Utilities;10014;Utilities;55;305.911.564;3,01;45,91;#N/A N/A;Prestação de Serviços de Natureza Pública ou Privada. no Setor de Distribuição de Energia Elétrica.
CEG ON *;CEGR3;CEGR3 BS Equity;CIA DISTRIBUIDORA DE GAS;Utilities;10014;Utilities;55;#N/A N/A;4.681,42;9,02;#N/A N/A;Distribuição de Gás Canalizado no Estado do Rio de Janeiro.
CELPA ON;CELP3;CELP3 BS Equity;CENTRAIS ELET DO PARA SA;Utilities;10014;Utilities;55;2.479.684.749;9,52;0,5;#N/A N/A;Distribuição de Energia Elétrica
CELPA PNA;CELP5;CELP5 BS Equity;CENTRAIS ELET DO PARA-PREF A;Utilities;10014;Utilities;55;2.479.684.749;1,82;84,03;#N/A N/A;Distribuição de Energia Elétrica
CELPA PNB;CELP6;CELP6 BS Equity;CENTRAIS ELET DO PARA-PRF B;Utilities;10014;Utilities;55;2.479.684.749;1,09;100;#N/A N/A;Distribuição de Energia Elétrica
CELPA PNC;CELP7;CELP7 BS Equity;CENTRAIS ELET DO PARA-PREF C;Utilities;10014;Utilities;55;2.479.684.749;1,09;90,35;#N/A N/A;Distribuição de Energia Elétrica
CELPE PNA;CEPE5;CEPE5 BS Equity;CIA ENERGETICA DE PER-PREF A;Utilities;10014;Utilities;55;1.194.544.332;7,1;93,87;#N/A N/A;Estudar. Projetar. Construir e Explorar os Sistemas de Distribuição e Comercialização Aos Consumidores Finais de Energia Elétrica. Bem como A Geraçãa de Energia Elétrica em Sistema Isolado.
CESP ON;CESP3;CESP3 BS Equity;CIA ENERGETICA DE SAO PAULO;Utilities;10014;Utilities;55;8.123.616.743;6,43;5,89;#N/A N/A;Geração e Comercialização de Energia Elétrica
CESP PNA;CESP5;CESP5 BS Equity;CIA ENERGETICA DE SP-PREF A;Utilities;10014;Utilities;55;8.123.616.743;0,95;12,44;#N/A N/A;Geração e Comercialização de Energia Elétrica
CESP PNB;CESP6;CESP6 BS Equity;CIA ENERGETICA DE SP-PREF B;Utilities;10014;Utilities;55;8.123.616.743;176,38;83,7;#N/A N/A;Geração e Comercialização de Energia Elétrica
COMGAS ON;CGAS3;CGAS3 BS Equity;CIA DE GAS DE SAO PAULO;Utilities;10014;Utilities;55;6.091.638.927;3,79;3,97;#N/A N/A;Setor de Atividade: Utilidade Pública: Distribuição de Gás Natural Canalizado.
COMGAS PNA;CGAS5;CGAS5 BS Equity;CIA DE GAS DE SAO PAULO-PR A;Utilities;10014;Utilities;55;6.091.638.927;22,31;84,64;#N/A N/A;Setor de Atividade: Utilidade Pública: Distribuição de Gás Natural Canalizado.
GRAZZIOTIN ON;CGRA3;CGRA3 BS Equity;GRAZZIOTIN SA;Consumer, Cyclical;10004;Consumer Discretionary;25;396.684.057;2,62;29,96;#N/A N/A;Comércio Varejista de Vestuário e Bazar.
GRAZZIOTIN PN;CGRA4;CGRA4 BS Equity;GRAZZIOTIN SA-PREF;Consumer, Cyclical;10004;Consumer Discretionary;25;396.684.057;9,13;69,68;#N/A N/A;Comércio Varejista de Vestuário e Bazar.
CHEVRON DRN;CHVX34;CHVX34 BS Equity;CHEVRON-BDR;Energy;10007;Energy;10;531.700.911.000;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A
CIELO ON;CIEL3;CIEL3 BS Equity;CIELO SA;Consumer, Non-cyclical;10005;Information Technology;45;69.099.549.725;665,05;42,3;#N/A N/A;Empresa Prestadora de Serviços de Adquirência e Meios de Pagamento.
CACIQUE ON;CIQU3;CIQU3 BS Equity;CIA CACIQUE DE CAFE SOLUVEL;Consumer, Non-cyclical;10005;Consumer Staples;30;265.696.200;0,54;6,52;#N/A N/A;A Exploração de Usinas de Café Solúvel e A Industrialização e Envasamento do Café Solúvel. do Café Torrado E/ou Moído
CACIQUE PN;CIQU4;CIQU4 BS Equity;CIA CACIQUE DE CAFE SOLUV-PR;Consumer, Non-cyclical;10005;Consumer Staples;30;265.696.200;1,19;7,13;#N/A N/A;A Exploração de Usinas de Café Solúvel e A Industrialização e Envasamento do Café Solúvel. do Café Torrado E/ou Moído
CELESC ON;CLSC3;CLSC3 BS Equity;CENTRAIS ELETRICA STA CATARI;Utilities;10014;Utilities;55;563.145.229;2,59;16,69;#N/A N/A;Holding do Setor de Energia
CELESC PN;CLSC4;CLSC4 BS Equity;CENTRAIS ELETRICAS SANTA CAT;Utilities;10014;Utilities;55;563.145.229;17,33;75,19;#N/A N/A;Holding do Setor de Energia
COMCAST DRN;CMCS34;CMCS34 BS Equity;COMCAST CORP-DES;Communications;10003;Consumer Discretionary;25;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A
CEMAT ON;CMGR3;CMGR3 BS Equity;CENTRAIS ELET MATOGROSSENSES;Utilities;10014;Utilities;55;1.176.683.175;3,33;5,67;#N/A N/A;Distribuição de Energia Elétrica
CEMAT PN;CMGR4;CMGR4 BS Equity;CENTRAIS ELET MATOGROSSENSES;Utilities;10014;Utilities;55;1.176.683.175;1,02;0,91;#N/A N/A;Distribuição de Energia Elétrica
CEMIG ON;CMIG3;CMIG3 BS Equity;CIA ENERGETICA DE MINAS GER;Utilities;10014;Utilities;55;18.006.402.843;67,66;16,08;#N/A N/A;Concessionária de Serviço Público de Energia Elétrica.
CEMIG PN;CMIG4;CMIG4 BS Equity;CIA ENERGETICA MINAS GER-PRF;Utilities;10014;Utilities;55;18.006.402.843;716,22;85,46;#N/A N/A;Concessionária de Serviço Público de Energia Elétrica.
COCA COLA DRN;COCA34;COCA34 BS Equity;COCA COLA-BDR;Consumer, Non-cyclical;10005;Consumer Staples;30;488.568.542.280;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A
COELCE ON;COCE3;COCE3 BS Equity;CIA ENERGETICA DO CEARA;Utilities;10014;Utilities;55;2.778.862.844;1;2,09;#N/A N/A;Distribuição de Energia Elétrica.
COELCE PNA;COCE5;COCE5 BS Equity;CIA ENERGETICA DO CEARA-PR A;Utilities;10014;Utilities;55;2.778.862.844;13,7;48,48;#N/A N/A;Distribuição de Energia Elétrica.
COELCE PNB;COCE6;COCE6 BS Equity;CIA ENERGETICA DO CEARA-PR B;Utilities;10014;Utilities;55;2.778.862.844;0;0,23;#N/A N/A;Distribuição de Energia Elétrica.
COLGATE DRN;COLG34;COLG34 BS Equity;COLGATE-PALMOLIVE-BDR;Consumer, Non-cyclical;10005;Consumer Staples;30;170.261.796.000;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A
COPHILLIPS DRN;COPH34;COPH34 BS Equity;CONOCOPHILLIPS - BDR;Energy;10007;Energy;10;231.158.769.900;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A
COR RIBEIRO PN;CORR4;CORR4 BS Equity;CORREA RIBEIRO S.A.-PREF;Consumer, Cyclical;10004;Financials;40;#N/A N/A;0,02;98;#N/A N/A;#N/A N/A
CPFL ENERGIA ON;CPFE3;CPFE3 BS Equity;CPFL ENERGIA SA;Utilities;10014;Utilities;55;18.966.425.665;319,84;33,24;#N/A N/A;Gestão de Participações Societárias (holdings)
COPEL ON;CPLE3;CPLE3 BS Equity;CIA PARANAENSE DE ENERGIA;Utilities;10014;Utilities;55;8.040.811.283;20,17;13,9;#N/A N/A;Geração. Transmissão. Comercialização e Distribuição de Energia Elétrica
COPEL PNA;CPLE5;CPLE5 BS Equity;CIA PARANAENSE DE ENERGI-PFA;Utilities;10014;Utilities;55;8.040.811.283;0,25;66,07;#N/A N/A;Geração. Transmissão. Comercialização e Distribuição de Energia Elétrica
COPEL PNB;CPLE6;CPLE6 BS Equity;CIA PARANAENSE DE ENERGI-PFB;Utilities;10014;Utilities;55;8.040.811.283;100,95;78,72;#N/A N/A;Geração. Transmissão. Comercialização e Distribuição de Energia Elétrica
CPFL RENOVAV ON;CPRE3;CPRE3 BS Equity;CPFL ENERGIAS RENOVAVEIS;Energy;10007;Utilities;55;5.989.063.654;104,23;20,71;#N/A N/A;Geração de Energias Renováveis.
CR2 ON;CRDE3;CRDE3 BS Equity;CR2 EMPREENDIMENTOS IMOBILIA;Financial;10008;Consumer Discretionary;25;128.858.545;33,3;68,75;#N/A N/A;Incorporação Imobiliária
CREMER ON;CREM3;CREM3 BS Equity;CREMER SA;Consumer, Non-cyclical;10005;Health Care;35;471.648.000;1,25;4,24;#N/A N/A;Indústria e Comércio de Produtos Têxteis (Tecidos e Não Tecidos). Cirúrgicos. Hospitalares.adesivos Cirúrgicos e Industriais. Cosméticos. de Perfumaria e Higiene. Comércio de Medicamentos. Saneantes
ALFA FINANC ON;CRIV3;CRIV3 BS Equity;FINANCEIRA ALFA SA;Financial;10008;Financials;40;374.061.768;6,89;11,59;#N/A N/A;A Prática de Todas as Operações de Crédito. Financiamento e Investimentos Permitidas pelas Leis e Regulamentos Aplicáveis À Espécie.
ALFA FINANC PN;CRIV4;CRIV4 BS Equity;FINANCEIRA ALFA SA-PREF;Financial;10008;Financials;40;374.061.768;16,86;36,4;#N/A N/A;A Prática de Todas as Operações de Crédito. Financiamento e Investimentos Permitidas pelas Leis e Regulamentos Aplicáveis À Espécie.
SOUZA CRUZ ON;CRUZ3;CRUZ3 BS Equity;SOUZA CRUZ SA;Consumer, Non-cyclical;10005;Consumer Staples;30;31.333.235.250;378,14;24,74;#N/A N/A;Fabricação de Cigarros e Exportação de Fumo.
SEG AL BAHIA ON;CSAB3;CSAB3 BS Equity;CIA SEGUROS ALIANCA DA BAHIA;Financial;10008;Financials;40;245.760.000;1,46;38,01;#N/A N/A;Companhia de Seguros
SEG AL BAHIA PN;CSAB4;CSAB4 BS Equity;CIA SEGUROS ALIANCA BAHIA-PR;Financial;10008;Financials;40;245.760.000;1,2;31,29;#N/A N/A;Companhia de Seguros
COSAN ON;CSAN3;CSAN3 BS Equity;COSAN SA INDUSTRIA COMERCIO;Energy;10007;Energy;10;12.990.137.861;121,15;29,75;#N/A N/A;Produção de Açúcar. Etanol e Cogeração de Energia. Distribuição de Combustíveis.produção e Distribuição de Lubrificantes.tranporte e Carregamento de Açúcar. Operador de Terras e Distribuição de Gás.
CISCO DRN;CSCO34;CSCO34 BS Equity;CISCO-BDR;Communications;10003;Information Technology;45;352.354.927.300;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A
COPASA ON;CSMG3;CSMG3 BS Equity;CIA SANEAMENTO MINAS GERAIS;Utilities;10014;Utilities;55;2.920.300.092;58,13;48,57;#N/A N/A;Prestar Serviços de Saneamento.
ISHARES CSMO CI;CSMO11;CSMO11 BS Equity;ISHARES BM&F BOVESPA CONSUMO;Funds;10009;#N/A N/A;#N/A N/A;5.600.000;#N/A N/A;#N/A N/A;Equity;#N/A N/A
SID NACIONAL ON;CSNA3;CSNA3 BS Equity;CIA SIDERURGICA NACIONAL SA;Basic Materials;10002;Materials;15;8.408.395.725;625,91;45,11;#N/A N/A;A Companhia Siderúrgica Nacional Atua Nos Setores de Mineração. Siderurgia. Logística. Cimento e Energia.
COSERN ON;CSRN3;CSRN3 BS Equity;CIA ENERGETICA DO RIO GRANDE;Utilities;10014;Utilities;55;1.486.145.980;1,35;1,04;#N/A N/A;Serviço Público de Distribuição de Energia Elétrica
COSERN PNA;CSRN5;CSRN5 BS Equity;CIA ENERGETICA DO RIO-PREF A;Utilities;10014;Utilities;55;1.486.145.980;0,37;1,77;#N/A N/A;Serviço Público de Distribuição de Energia Elétrica
COSERN PNB;CSRN6;CSRN6 BS Equity;CIA ENERGETICA DO RIO-PREF B;Utilities;10014;Utilities;55;1.486.145.980;0,23;1,29;#N/A N/A;Serviço Público de Distribuição de Energia Elétrica
CONTAX UNT;CTAX11;CTAX11 BS Equity;CONTAX PARTICIPACOES-UNIT;Technology;10013;Industrials;20;708.824.134;69,15;100;#N/A N/A;O Grupo Contax Atua em Toda A Cadeia de Relacionamento entre Empresas e Seus Consumidores. Através de Diversos Canais de Comunicação Remotos e Presenciais.
CONTAX ON;CTAX3;CTAX3 BS Equity;CONTAX PARTICIPACOES SA;Technology;10013;Industrials;20;708.824.134;48,79;40,75;#N/A N/A;O Grupo Contax Atua em Toda A Cadeia de Relacionamento entre Empresas e Seus Consumidores. Através de Diversos Canais de Comunicação Remotos e Presenciais.
CONTAX PN;CTAX4;CTAX4 BS Equity;CONTAX PARTICIPACOES-PREF;Technology;10013;Industrials;20;708.824.134;134,38;59,45;#N/A N/A;O Grupo Contax Atua em Toda A Cadeia de Relacionamento entre Empresas e Seus Consumidores. Através de Diversos Canais de Comunicação Remotos e Presenciais.
CITIGROUP DRN;CTGP34;CTGP34 BS Equity;CITIGROUP-BDR;Financial;10008;Financials;40;424.751.397.300;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A
CETIP ON;CTIP3;CTIP3 BS Equity;CETIP SA-MERCADOS ORGANIZADO;Financial;10008;Financials;40;8.704.634.274;217,96;83,08;#N/A N/A;Sociedade Administradora de Mercados de Balcão Organizados.
KARSTEN ON;CTKA3;CTKA3 BS Equity;KARSTEN SA;Consumer, Cyclical;10004;Consumer Discretionary;25;108.064.395;2,76;9,57;#N/A N/A;Fabricação. Exportação. Importação e o Comércio Atacadista e Varejista de Fios. Tecidos e Produtos Têxteis em Geral.
KARSTEN PN;CTKA4;CTKA4 BS Equity;CIA TEXTIL KARSTEN-PREF;Consumer, Cyclical;10004;Consumer Discretionary;25;108.064.395;29,71;75,99;#N/A N/A;Fabricação. Exportação. Importação e o Comércio Atacadista e Varejista de Fios. Tecidos e Produtos Têxteis em Geral.
COTEMINAS ON;CTNM3;CTNM3 BS Equity;CIA TECIDOS NORTE DE MINAS;Consumer, Cyclical;10004;Consumer Discretionary;25;143.704.603;1,2;2,16;#N/A N/A;Holding
COTEMINAS PN;CTNM4;CTNM4 BS Equity;CIA TECIDOS NORTE DE MINA-PR;Consumer, Cyclical;10004;Consumer Discretionary;25;143.704.603;44,93;67,16;#N/A N/A;Holding
SANTANENSE ON;CTSA3;CTSA3 BS Equity;CIA TECIDOS SANTANENSE;Consumer, Cyclical;10004;Consumer Discretionary;25;132.723.206;2,88;7,58;#N/A N/A;Indústria Têxtil
SANTANENSE PN;CTSA4;CTSA4 BS Equity;CIA TECIDOS SANTANENSE-PREF;Consumer, Cyclical;10004;Consumer Discretionary;25;132.723.206;0,8;63,67;#N/A N/A;Indústria Têxtil
FII C TEXTIL CI;CTXT11;CTXT11 BS Equity;FII CENTRO TEXTIL INTL;Financial;10008;#N/A N/A;#N/A N/A;121.671.684;#N/A N/A;#N/A N/A;Real Estate;#N/A N/A
CVC BRASIL ON;CVCB3;CVCB3 BS Equity;CVC BRASIL OPERADORA E AGENC;Consumer, Cyclical;10004;Consumer Discretionary;25;2.037.712.693;69,06;52,53;#N/A N/A;Serviços de Turismo. Compreendendo A Intermediação. Individualmente ou na Forma Agregada. de Passagens Aéreas. Transporte Terrestre. Reservas de Hotéis. Passagens de Cruzeiros Marítimos. entre Outros.
FII CX RBRAV CI;CXRI11;CXRI11 BS Equity;FII CAIXA RIO BRAVO;Financial;10008;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;Real Estate;#N/A N/A
FII CX TRX CI;CXTL11;CXTL11 BS Equity;FI IM CAIXA TRX LOGISTICA RE;Financial;10008;#N/A N/A;#N/A N/A;34.570.065;#N/A N/A;#N/A N/A;Real Estate;#N/A N/A
CYRELA REALT ON;CYRE3;CYRE3 BS Equity;CYRELA BRAZIL REALTY SA EMP;Financial;10008;Consumer Discretionary;25;4.976.797.848;234,61;58,69;#N/A N/A;Incorporação Imobiliária
COSAN LTD DR3;CZLT33;CZLT33 BS Equity;COSAN LTD-BDR;Consumer, Non-cyclical;10005;Energy;10;6.366.566.406;#N/A N/A;#N/A N/A;#N/A N/A;Produção de Açúcar. Etanol e Cogeração de Energia. Distribuição de Combustíveis. Produção Ee Distribuição de Lubrificantes. Transporte e Carregamento de Açúcar e Operador Logístico
DUFRY AG DR3;DAGB33;DAGB33 BS Equity;DUFRY GROUP-BDR;Consumer, Cyclical;10004;Consumer Discretionary;25;14.469.737.568;#N/A N/A;#N/A N/A;#N/A N/A;Adquirir. Deter. Administrar Continuamente. Vender e Financiar Participações em Companhias de Todos os Tipos na Suíça e no Exterior.
DASA ON;DASA3;DASA3 BS Equity;DIAGNOSTICOS DA AMERICA SA;Consumer, Non-cyclical;10005;Health Care;35;3.289.521.808;55,16;17,69;#N/A N/A;Análises Clínicas e Medicina Diagnóstica
DAYCOVAL PN;DAYC4;DAYC4 BS Equity;BANCO DAYCOVAL SA;Financial;10008;Financials;40;2.284.873.259;49,65;56,75;#N/A N/A;Banco Múltiplo com Carteira Comercial. de Câmbio. de Investimento e de Crédito e Financiamento.
D H B ON;DHBI3;DHBI3 BS Equity;DHB INDUSTRIA E COMERCIO SA;Consumer, Cyclical;10004;Consumer Discretionary;25;#N/A N/A;0,09;6,19;#N/A N/A;Participação em Outras Sociedades - Holding
D H B PN;DHBI4;DHBI4 BS Equity;DHB INDUSTRIA E COMERCIO-PRF;Consumer, Cyclical;10004;Consumer Discretionary;25;3.777.078;0,86;31,26;#N/A N/A;Participação em Outras Sociedades - Holding
DIRECIONAL ON;DIRR3;DIRR3 BS Equity;DIRECIONAL ENGENHARIA SA;Financial;10008;Consumer Discretionary;25;1.490.867.990;85,27;54,91;#N/A N/A;Incorporação. Construção e Comercialização de Imóveis Próprios ou de Terceiros e Prestação de Serviços de Engenharia.
WALT DISNEY DRN;DISB34;DISB34 BS Equity;WALT DISNEY CO/THE-BDR;Communications;10003;Consumer Discretionary;25;395.886.668.644;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A
IT NOW IDIV CI;DIVO11;DIVO11 BS Equity;IT NOW IDIV FUNDO DE INDICE;Funds;10009;#N/A N/A;#N/A N/A;43.848.000;#N/A N/A;#N/A N/A;Equity;#N/A N/A
DOHLER ON;DOHL3;DOHL3 BS Equity;DOHLER SA COMERCIO E INDUSTR;Consumer, Cyclical;10004;Consumer Discretionary;25;283.821.109;10,01;22,97;#N/A N/A;Fabricação de Artefatos Têxteis para Uso Doméstico
DOHLER PN;DOHL4;DOHL4 BS Equity;DOHLER SA COMERCIO E IN-PREF;Consumer, Cyclical;10004;Consumer Discretionary;25;283.821.109;9,73;57,46;#N/A N/A;Fabricação de Artefatos Têxteis para Uso Doméstico
FII DOMO CI;DOMC11;DOMC11 BS Equity;FII DOMO;Financial;10008;#N/A N/A;#N/A N/A;122.500.000;#N/A N/A;#N/A N/A;Real Estate;#N/A N/A
DOW CHEMICAL DRN;DOWB34;DOWB34 BS Equity;DOW CHEMICAL CO/THE-BDR;Basic Materials;10002;Materials;15;134.945.234.500;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A
DTCOM-DIRECT ON;DTCY3;DTCY3 BS Equity;DTCOM-DIRECT TO COMPANY SA;Consumer, Non-cyclical;10005;Information Technology;45;23.575.360;5,66;10,7;#N/A N/A;Treinamento Empresarial Via Satélite
DURATEX ON;DTEX3;DTEX3 BS Equity;DURATEX SA;Industrial;10011;Materials;15;5.584.094.025;279,47;41,99;#N/A N/A;Fabricação. Comércio. Importação e Exportação de Produtos Derivados de Madeira. de Produtos de Metais e Materiais Cerâmicos
MET DUQUE PN;DUQE4;DUQE4 BS Equity;METALURGICA DUQUE SA-PREF;Basic Materials;10002;Industrials;20;#N/A N/A;0,63;35,98;#N/A N/A;Fabricação de Peças P/Bicicletas. Peças P/Eletrodomésticos e Linha Automotiva.
ACO ALTONA ON;EALT3;EALT3 BS Equity;ELECTRO ACO ALTONA SA;Industrial;10011;Materials;15;#N/A N/A;0,04;4,48;#N/A N/A;Fundição de Ferro e Aço
ACO ALTONA PN;EALT4;EALT4 BS Equity;ELECTRO ACO ALTONA SA-PREF;Industrial;10011;Materials;15;48.728.249;0,39;30,78;#N/A N/A;Fundição de Ferro e Aço
EBAY DRN;EBAY34;EBAY34 BS Equity;EBAY INC - BDR;Communications;10003;Information Technology;45;169.996.464.000;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A
EMBRATEL PAR ON *;EBTP3;EBTP3 BS Equity;EMBRATEL PARTICIPACOES SA;Communications;10003;Telecommunication Services;50;18.614.626.522;10.147,75;1,59;#N/A N/A;Exercer Controle de Empresas de Telecomunicações
EMBRATEL PAR PN *;EBTP4;EBTP4 BS Equity;EMBRATEL PARTICIPACOES-PREF;Communications;10003;Telecommunication Services;50;18.614.626.522;10.379,92;1,75;#N/A N/A;Exercer Controle de Empresas de Telecomunicações
ISHARES ECOO CI;ECOO11;ECOO11 BS Equity;ISHARES CARBONO EFICIENTE;Funds;10009;#N/A N/A;#N/A N/A;106.147.995;#N/A N/A;#N/A N/A;Equity;#N/A N/A
ECORODOVIAS ON;ECOR3;ECOR3 BS Equity;ECORODOVIAS INFRA E LOG SA;Consumer, Non-cyclical;10005;Industrials;20;6.145.689.880;198,95;35,61;#N/A N/A;Exploração Direta ou Indireta de Negócios de Concessão de Obras e Serviços Públicos e Organização Logísitica do Transporte de Carga.
ENCORPAR ON;ECPR3;ECPR3 BS Equity;EMP NACL COM REDITO E PART;Consumer, Cyclical;10004;Consumer Discretionary;25;#N/A N/A;0,22;21,69;#N/A N/A;Holding
ENCORPAR PN;ECPR4;ECPR4 BS Equity;EMP NACL COM REDITO E PAR-PF;Consumer, Cyclical;10004;Consumer Discretionary;25;#N/A N/A;0,21;23,95;#N/A N/A;Holding
